id,idx,tm_1DUJ,tm_1S2H,rmsd_1DUJ,rmsd_1S2H,lddt_1DUJ,lddt_1S2H,mean_plddt
Mad2_089,089,0.42001353783369144,0.3517035185607223,13.862349510192871,14.530539512634277,0.3342119491754528,0.4459876543209877,39.87
Mad2_090,090,0.7095859880100478,0.5855346667692667,8.184837341308594,14.888983726501465,0.38010143901863647,0.4845505617977528,64.17
Mad2_091,091,0.43518031680036634,0.3771600563819773,12.443276405334473,19.596960067749023,0.37177494560149205,0.4504583445672688,39.02
Mad2_092,092,0.6699393447309429,0.5690084359891656,9.969841003417969,13.139694213867188,0.3386742248958815,0.48625557206537895,64.95
Mad2_093,093,0.7147284282711722,0.5866173848070912,10.658315658569336,15.938218116760254,0.3704220227989328,0.5160596026490066,63.95
Mad2_094,094,0.6802200734845245,0.6238189100589139,11.001708984375,13.60336971282959,0.36291739894551844,0.5630470783061272,58.86
Mad2_095,095,0.6161835338125914,0.547182189768952,8.297013282775879,14.108441352844238,0.3701323987538941,0.514799154334038,47.98
Mad2_096,096,0.5588273241073007,0.49748463237687923,9.880080223083496,14.18513298034668,0.37263257575757575,0.4847067745197169,46.53
Mad2_097,097,0.586447388951825,0.5834088097530142,9.496204376220703,10.88385009765625,0.33753485130111527,0.49902449598959464,60.22
Mad2_098,098,0.5743049328489389,0.5385637194392202,11.46883487701416,14.612602233886719,0.3538777606574217,0.47553699284009543,44.17
Mad2_099,099,0.35724124835235094,0.3231178339163245,18.14189910888672,23.403905868530273,0.3202414772727273,0.4129600211808313,51.1
Mad2_100,100,0.3816744625937628,0.3443437098865888,15.196917533874512,15.495676040649414,0.32623080995235576,0.44028264132066036,48.1
Mad2_101,101,0.4787969831426774,0.5289534119803622,17.68559455871582,15.872685432434082,0.32150130928135,0.49044499044499046,41.53
Mad2_102,102,0.7049999988331006,0.6085637855548282,8.142650604248047,14.333040237426758,0.38538557213930347,0.5521990478349581,60.78
Mad2_103,103,0.4030235138098638,0.35398966576961033,16.559965133666992,20.11412239074707,0.3393504321159744,0.46063462559745083,41.22
Mad2_104,104,0.4425327377129465,0.4094009389223595,16.148195266723633,17.8763484954834,0.33601738241308793,0.4737898465171193,51.98
Mad2_105,105,0.47263388308622134,0.4223386364662276,9.148292541503906,14.950887680053711,0.3345626293995859,0.47145980082584404,47.08
Mad2_106,106,0.6639433383398795,0.5697671421998152,10.55948543548584,16.365209579467773,0.3772563176895307,0.5299274486094316,53.59
